Case ID,Start Timestamp,Complete Timestamp,Activity,Resource,Role,Invoice amount,Discount,Country
1299,06/07/2020 08:17:00,06/07/2020 09:14:00,Create Purchase Requisition,Penn Osterwalder,Requester,1170497.94,197375.94,AUS
1299,07/07/2020 08:23:00,07/07/2020 08:29:00,Analyze Purchase Requisition,Heinz Gutschmidt,Requester Manager,1170497.94,197375.94,AUS
1299,07/07/2020 08:32:00,07/07/2020 08:33:00,Create Request for Quotation Requester Manager,Heinz Gutschmidt,Requester Manager,1170497.94,197375.94,AUS
1299,08/08/2020 19:03:00,08/08/2020 19:26:00,Analyze Request for Quotation,Magdalena Predutta,Purchasing Agent,1170497.94,197375.94,AUS
1299,09/08/2020 17:10:00,09/08/2020 17:38:00,Send Request for Quotation to Supplier,Karel de Groot,Purchasing Agent,1170497.94,197375.94,AUS
1299,10/08/2020 18:44:00,10/08/2020 22:02:00,Create Quotation comparison Map,Francois de Perrier,Purchasing Agent,1170497.94,197375.94,AUS
1299,11/08/2020 04:31:00,11/08/2020 04:48:00,Analyze Quotation comparison Map,Anna Kaufmann,Requester,1170497.94,197375.94,AUS
1299,11/08/2020 04:48:00,11/08/2020 04:48:00,Choose best option,Tesca Lobes,Requester,1170497.94,197375.94,AUS
1299,12/08/2020 20:36:00,13/08/2020 06:22:00,Settle conditions with supplier,Karel de Groot,Purchasing Agent,1170497.94,197375.94,AUS
1299,14/08/2020 05:07:00,14/08/2020 05:14:00,Create Purchase Order,Karel de Groot,Purchasing Agent,1170497.94,197375.94,AUS
1299,18/08/2020 01:54:00,18/08/2020 02:09:00,Confirm Purchase Order,Karen Clarens,Supplier,1170497.94,197375.94,AUS
1299,13/09/2020 05:28:00,15/09/2020 02:37:00,Deliver Goods Services,Kiu Kan,Supplier,1170497.94,197375.94,AUS
1299,15/09/2020 10:00:00,15/09/2020 10:01:00,Release Purchase Order,Kim Passa,Requester,1170497.94,197375.94,AUS
1299,15/09/2020 16:45:00,15/09/2020 16:46:00,Approve Purchase Order for payment,Karel de Groot,Purchasing Agent,1170497.94,197375.94,AUS
1299,19/09/2020 22:22:00,19/09/2020 22:22:00,Send invoice,Kiu Kan,Supplier,1170497.94,197375.94,AUS
1299,20/09/2020 12:43:00,20/09/2020 12:48:00,Release Supplier's Invoice,Pedro Alvares,Financial Manager,1170497.94,197375.94,AUS
1299,20/09/2020 12:48:00,20/09/2020 12:48:00,Authorize Supplier's Invoice payment,Karalda Nimwada,Financial Manager,1170497.94,197375.94,AUS
1299,20/09/2020 13:05:00,20/09/2020 13:11:00,Pay invoice,Karalda Nimwada,Financial Manager,1170497.94,197375.94,AUS
46,06/01/2020 02:10:00,06/01/2020 03:01:00,Create Purchase Requisition,Anna Kaufmann,Requester,1285455.0,239010.14,NZL
46,06/01/2020 05:17:00,06/01/2020 05:27:00,Create Request for Quotation Requester,Miu Hanwan,Requester,1285455.0,239010.14,NZL
46,06/01/2020 14:53:00,06/01/2020 15:18:00,Analyze Request for Quotation,Karel de Groot,Purchasing Agent,1285455.0,239010.14,NZL
46,06/01/2020 16:07:00,06/01/2020 16:21:00,Amend Request for Quotation Requester,Tesca Lobes,Requester Manager,1285455.0,239010.14,NZL
46,08/01/2020 03:34:00,08/01/2020 03:39:00,Analyze Request for Quotation,Magdalena Predutta,Purchasing Agent,1285455.0,239010.14,NZL
46,08/01/2020 04:26:00,08/01/2020 04:36:00,Amend Request for Quotation Requester,Clement Duchot,Requester Manager,1285455.0,239010.14,NZL
46,12/01/2020 06:09:00,12/01/2020 06:42:00,Analyze Request for Quotation,Francois de Perrier,Purchasing Agent,1285455.0,239010.14,NZL
46,12/01/2020 07:25:00,12/01/2020 07:36:00,Amend Request for Quotation Requester,Anne Olwada,Requester Manager,1285455.0,239010.14,NZL
46,12/01/2020 09:38:00,12/01/2020 10:05:00,Analyze Request for Quotation,Magdalena Predutta,Purchasing Agent,1285455.0,239010.14,NZL
46,12/01/2020 10:52:00,12/01/2020 11:01:00,Amend Request for Quotation Requester,Immanuel Karagianni,Requester Manager,1285455.0,239010.14,NZL
46,12/01/2020 13:04:00,12/01/2020 13:26:00,Analyze Request for Quotation,Magdalena Predutta,Purchasing Agent,1285455.0,239010.14,NZL
46,12/01/2020 21:55:00,12/01/2020 22:07:00,Send Request for Quotation to Supplier,Francois de Perrier,Purchasing Agent,1285455.0,239010.14,NZL
46,13/01/2020 00:44:00,13/01/2020 03:34:00,Create Quotation comparison Map,Karel de Groot,Purchasing Agent,1285455.0,239010.14,NZL
46,13/01/2020 10:04:00,13/01/2020 10:33:00,Analyze Quotation comparison Map,Tesca Lobes,Requester,1285455.0,239010.14,NZL
46,13/01/2020 10:33:00,13/01/2020 10:33:00,Choose best option,Elvira Lores,Requester,1285455.0,239010.14,NZL
46,13/01/2020 15:36:00,13/01/2020 23:59:00,Settle conditions with supplier,Francois de Perrier,Purchasing Agent,1285455.0,239010.14,NZL
